Message ID,Date,Text
228029,17/03/2025 22:32:44,"وسائل إعلام تابعة لأنصار الله: مصنع الحبشي للحديد بمديرية باجل في الحديدة تعرض لأكثر من 12 غارة للعدو الأمريكي

غارة أمريكية تستهدف منطقة مفتوحة قرب شارع الستين الغربي بمديرية الثورة بصنعاء"
228028,17/03/2025 20:54:33,"وزارة الدفاع الأمريكية:

3 حاملات طائرات أميركية تتجه إلى الشرق الأوسط."
228027,17/03/2025 19:59:18,"عاجل | هيئة البث الإسرائيلية عن مصدر أمني: حماس تستغل المفاوضات لكسب الوقت

عاجل | هيئة البث الإسرائيلية عن مصدر أمني: الإنجازات العسكرية تتآكل ووضع الرهائن يزداد سوءا

عاجل | هيئة البث الإسرائيلية: الجيش ينتظر تعليمات من القيادة السياسية بشأن الخطوات المقبلة

عاجل | هيئة البث الإسرائيلية: استعدادات الفصائل الفلسطينية لاستئناف القتال شملت تجنيد مئات المسلحين الجدد

عاجل | هيئة البث الإسرائيلية: استعدادات الفصائل الفلسطينية لاستئناف القتال شملت توزيع أسلحة وإقامة مواقع عسكرية

عاجل | هيئة البث الإسرائيلية: استعدادات الفصائل الفلسطينية لاستئناف القتال شملت إعادة بناء قيادات ميدانية تضررت

عاجل | هيئة البث الإسرائيلية: الجيش رصد في الأسبوعين الماضيين استعدادات مكثفة للفصائل الفلسطينية بغزة لعودة القتال

عاجل | هيئة البث الإسرائيلية نقلا عن مصدر أمني: لدى حماس اليوم 25 ألف مقاتل وللجهاد الإسلامي 5 آلاف

عاجل | هيئة البث الإسرائيلية عن مصادر: لا تقدم بالمفاوضات مع حماس حتى الآن والسيناريو الواقعي هو العودة للقتال"
228026,17/03/2025 19:56:19,وزارة الصحة اللبنانية : 7 شهداء و52 جريحاً حصيلة التطورات على الحدود اللبنانية - السورية
228025,17/03/2025 19:55:51,هيئة البث الإسرائيلية عن مصادر أمنية: لا تقدم بالمفاوضات مع حماس حتى الآن ونرجح العودة إلى القتال في غزة
228024,17/03/2025 17:58:37,نتنياهو مخاطبا المستشارة القضائية للحكومة: تحقيقات الشاباك بدأت بعد أن طرحت موضوع إقالة رئيس الجهاز
228023,17/03/2025 17:47:19,"وزارة الداخلية في رام الله تنفي صحة الأنباء المتداولة عبر بعض مواقع التواصل الاجتماعي بشأن امتناع الوزارة عن إصدار جوازات سفر للأسرى المحررين المُبعدين إلى الخارج.
وأكد الناطق الإعلامي باسم وزارة الداخلية، محمد التميمي ، أن الإدارة العامة للجوازات قامت بإصدار جوازات السفر فورًا للأسرى المحررين المتواجدين في جمهورية مصر العربية، وبدون أي رسوم تنفيذًا لتوجيهات الرئيس، وقد تم تسليمها لأصحابها من خلال محطات البيومتري في السفارة الفلسطينية في القاهرة."
228022,17/03/2025 16:59:58,**كان: على خلفية الأحداث الأمنية .. نتنياهو يلتقي اليوم مع وزير الجيش ورئيس الموساد ورئيس الأركان**
228021,17/03/2025 16:44:12,"عاجـل 

إطلاق نار من العيار الثقيل شمال شرق البريج وسط القطاع"
228020,17/03/2025 16:30:51,مقربين من بن غفير يقولون إنهم أحرزوا تقدمًا في المحادثات مع نتنياهو بشأن غزة، فيما يتعلق بالحصار على غزة واستمرار الحرب، ويضيفون أنهم يأملون في التوصل إلى اتفاقات بشأن التصويت على الميزانية والعودة إلى الحكومة في بداية الأسبوع المقبل
228019,17/03/2025 15:27:33,"تصريح صحفي عن حركة حماس : 

يواصل العدو الصهيوني انتهاكاته الخطيرة لاتفاق وقف إطلاق النار، واستهدافه للمواطنين العزل، وآخرها ارتقاء خمسة من أبناء شعبنا شهداء بقصفٍ غادر من طائراته المسيّرة وسط قطاع غزة، لينضمّوا إلى قرابة مائة وستين شهيداً ارتقوا بعد إعلان الاتفاق.

إن هذه الجرائم المستمرة، بالإضافة إلى مواصلة الاحتلال إغلاقه للمعابر وفرض الحصار والتجويع والتعطيش على أكثر من مليونَي مواطن في القطاع، هي تعبير عن إصرار حكومة الإرهابي نتنياهو على التهرب من استحقاقات اتفاق وقف إطلاق النار، وتأكيد على عدم اكتراثها لحياة أسراها في قطاع غزة، ولا للقوانين الدولية والإنسانية.

إننا ندعو الوسطاء الضامنين لاتفاق وقف إطلاق النار، للتدخل الفوري لكبح هذه الجرائم والاعتداءات المتواصلة، كما ندعو المجتمع الدولي لاتخاذ خطوات مسؤولة بفرض كسر الحصار عن قطاع غزة، ووقف جريمة التجويع والتعطيش التي يرتكبها الاحتلال الفاشي على مرأى ومسمع من العالم أجمع."
228018,17/03/2025 14:41:35,تحليق مكثف ومستمر لطائرات الاستطلاع في مختلف المناطق في قطاع غزة
228017,17/03/2025 14:20:41,مصدر فلسطيني خاص لسكاي نيوز عربية: نقاش مصري ـ أميركي مرتقب نهاية مارس للخروج بآليات عمل وجداول زمنية بشأن الخطة المصرية
228016,17/03/2025 14:20:40,مصدر فلسطيني خاص لسكاي نيوز عربية: إدارة ترامب تضغط على نتنياهو لقبول تولي اللجنة الحكومية الفلسطينية إدارة غزة بدعم عربي ودولي
228015,17/03/2025 14:20:38,مصدر فلسطيني خاص لسكاي نيوز عربية: الولايات المتحدة ربطت قبول الخطة بإزاحة حماس من الحكم في غزة ونزع سلاحها
228014,17/03/2025 14:20:37,مصدر فلسطيني خاص لسكاي نيوز عربية: إدارة ترامب استفسرت من مصر بشأن القدرة على إخراج حماس من المشهد السياسي والإداري في غزة
228013,17/03/2025 14:20:36,مصدر فلسطيني خاص لسكاي نيوز عربية: إدارة ترامب أبدت موافقة مبدئية على الخطة المصرية بشأن غزة
228012,17/03/2025 13:42:45,"جيش الاحتلال المجرم يواصل عدوانه وتصعديه بحق الصائمين وباتت الاحداث تتصاعد بشكل يومي بحق المواطنين وارقام الش8داء في تصاعد يومي ، ومن هنا نوجه نداء عاجل لكل الاطراف التي تدير ملف التفاوض بضرورة لجم الاحتلال عن استهدافاته المتواصلة في شهر رمضان الكريم. 
ونداء اخر للمواطنين من شعبنا وأحبابنا حرصًا على سلامتكم وحماية أرواحكم، نهيب بكم تجنّب التواجد في الأماكن المفتوحة، وخاصة القريبة من مواقع تمركز جيش الاحتلال، لا سيما في رفح، شرق خانيونس، شرق المحافظة الوسطى، وشرق غزة و مناطق التماس شمال القطاع.
 العدو يستمر في استهداف الأبرياء، ولا نريد أن نفجع بالمزيد من الأحباب.

تعيش معظم العائلات حالة القلق المتزايد  جراء تصاعد إطلاق النار العشوائي من قبل آليات الإحتلال طائراته المسيرة ، والذي طال البيوت وأرهب العائلات.

نهيب بأهلنا كذلك عدم الاقتراب من المنازل الآيلة للسقوط، حرصًا على سلامتكم، وندعو الجميع إلى توخي الحذر وتقدير الموقف الميداني بحكمة.

نسأل الله أن يحفظكم ويرعاكم، وأن يكتب الأمن والسلام."
228011,17/03/2025 13:23:17,مراسل صحيفة الحدث بغزة: ارتفاع حصيلة الشهداء خلال ساعات إلى 5 بعد قصف إسرائيلي استهدف مواطنين في غارتين منفصلتين شرق غزة وشرق البريج وسط تصاعد التوتر وعمليات القصف وإطلاق النار التي أسفرت عن ارتقاء ما يزيد عن 30 شهيد حتى الان في أقل من أسبوع
228010,17/03/2025 13:19:38,"إستهداف مجموعة من المواطنين في محيط مدرسة تابعة للأونروا في مخيم البريج أدى إلى شهيدين وهم:
1. وائل عوض النباهين 52
2. عوض النباهين 16"
228008,17/03/2025 10:52:59,‏هآرتس: الوفد الإسرائيلي المفاوض يعود من القاهرة دون تحقيق أي تقدم
228007,17/03/2025 10:52:46,غارة إسرائيلية على سيارة في يحمر الشقيف في قضاء النبطية والصحة اللبنانية: شهيد في غارة إسرائيلية على سيارة في بلدة يحمر جنوبي البلاد
228006,17/03/2025 10:52:32,‏وزير الخارجية المصري: إعادة إعمار غزة بصورة تضمن التعامل معه كجزء أصيل من الأراضي الفلسطينية أساسي لنجاح الخطة المصرية
228005,17/03/2025 10:52:30,‏وزير الخارجية المصري: مجلس الأمن قد يبحث اقتراحا بوجود دولي في غزة والضفة في إطار برنامج زمني
228004,17/03/2025 10:52:27,‏وزير الصحة المصري: أكثر من 107 آلاف فلسطيني عبروا من غزة إلى مصر منذ بداية الحرب لتلقي العلاج
228003,17/03/2025 10:51:05,جيش الاحتلال قتل ثلاثة مدنيين عزل كانوا يجمعون الحطب شرق مخيم البريج بالمحافظة الوسطى، ليصل عدد الشهداء منذ بدء سريان اتفاق وقف إطلاق النار في 19 يناير إلى أكثر من 150 شهيدًا، بينهم 40 شهيدًا خلال الأسبوعين الماضيين.
228002,17/03/2025 10:40:57,"كان العبرية:
 نحو 100 من قادة الاحتجاجات في الكيان أعلنوا عن احتجاج ضخم في مدينة  القدس ابتداء من الأربعاء، ردا على قرار رئيس الوزراء إقالة رئيس الشاباك رونين بار"
228001,17/03/2025 10:39:57,رغم انهم يعملون على جمعة وقص الحطب جيش الاحتلال الإسرائيلي يزعم انه قتلهم بدعوى محاولتهم زرع عبوة ناسفة.
228000,17/03/2025 10:35:04,"الهيئة المستقلة لحقوق الإنسان خلال مؤتمر صحفي بغزة :

استمرار إغلاق المعابر يمثل جريمة حرب بموجب القانون الدولي الإنساني

استمرار إغلاق المعابر يمثل عارا على المجتمع الدولي الذي يلتزم الصمت

نطالب بتحرك دولي عاجل لفرض إنهاء الحصار وإدخال المساعدات

نطالب بتشكيل لجنة دولية مستقلة لمراقبة المعابر

الوضع في غزة ليس مجرد أزمة إنسانية بل إبادة بطيئة"
227999,17/03/2025 10:14:35,طائرة إسرائيلية من نوع كواد كابتر تطلق النار في محيط مسجد معاوية بمواصي مدينة رفح جنوب قطاع غزة.
227998,17/03/2025 10:10:13,"#مناشدة إنسانية عاجلة : 
أنا الشاب سيف فريد قديح، أبلغ من العمر 20 عامًا، ومنذ طفولتي أعاني من مشكلة صحية في قدمي نتيجة خطأ طبي تعرضت له بعد سقوط . 
أجريت أكثر من 10 عمليات جراحية، لكنها لم تحقق النجاح المطلوب بسبب هشاشة العظام لدي. 
ومع مرور السنوات، أصبح لدي قصر في الساق بحوالي 5 سنتيمترات، والآن تفاقمت حالتي بسبب تلف العظم المتزايد، مما يجعل وضعي يزداد سوءًا يومًا بعد يوم.

حصلت على تحويلة للعلاج في الخارج، ولكن التأخير في تنفيذها قد يؤدي إلى فقداني لقدمي بالكامل. 
أنا لا أطلب مالًا، كل ما أطلبه هو التدخل العاجل لاستعجال التحويلة حتى أتمكن من تلقي العلاج المناسب وإنقاذ قدمي من البتر.

أحلم بأن أمشي بشكل طبيعي مثل أي شاب في عمري، وأعيش حياتي وأحقق مستقبلي.
 أناشد كل من يستطيع المساعدة، سواء الجهات المختصة أو أصحاب القلوب الرحيمة، ألا يقصروا في تقديم العون والتسريع بإجراءات سفري للعلاج قبل فوات الأوان.

للتواصل والمساعدة، يرجى التواصل على رقم الجوال :0592712085

 وأتمنى أن يصل صوتي إلى من يستطيع مساعدتي."
227997,17/03/2025 09:52:38,متابعة ميدانية: 3 شهداء وعدد من الاصابات على إثر قصف من مُسيرة إسرائيلية على مجموعة من المواطنين في منطقة وادي غزة وسط قطاع غزة.
227996,17/03/2025 09:24:33,"المستشارة القضائية للحكومة الإسرائيلية:

لا يمكن لنتنياهو إقالة رئيس الشاباك، وذلك حتى يتم استكمال مراجعة الأسس القانونية والوقائع التي يستند إليها القرار، والتأكد من صلاحيات نتنياهو للتعامل مع هذا الموضوع في الوقت الحالي"
227995,17/03/2025 09:24:29,"القناة 14 الإسرائيلية عن نتنياهو:  

رئيس الشاباك ابتزني بالتهديدات واستغل قوة الجهاز لممارسة الضغوط عليّ من أجل البقاء في منصبه"
227994,17/03/2025 09:24:14,"ناحوم برنياع:

 المواجهة الدستورية حول إقالة رئيس الشاباك رونين بار ستنتهي، على الأرجح، بتعيين رئيس جديد لجهاز الشاباك ستكون مهمته الأولى التعامل مع أزمة داخلية

 تسريع عملية إقالة المستشارة القانونية للحكومة ينتظر على الأبواب، وموقفها الداعم لبار سيشكل عنصرًا إضافيًا في لائحة الاتهام ضدها

 شاباك مختلف، نيابة عامة مختلفة، ولاحقًا محكمة عليا مختلفة وقوانين أساس أخرى. رئيس وزراء فقد الضوابط وسيسيطر علينا كما يشاء، وحكومة فاشلة ستتخبط خلفه. هل هذا طبيعي؟ بالتأكيد لا"
227993,17/03/2025 09:05:39,#شاهد بالفيديو:  أكثر من 150حافظًا للقرآن الكريم في محافظة خانيونس، يسردون القرآن في جلسة واحدة خلال مسابقة تنظمها مبادرة تحدي الخير بالشراكة مع دار القرآن الكريم والسنة
227991,17/03/2025 08:52:21,مغادرة الدفعة الـ45 من مرضى غزة عبر معبر رفح البري لاستكمال العلاج في مصر
227990,17/03/2025 08:42:36,No text
227989,17/03/2025 08:42:36,No text
227988,17/03/2025 08:42:36,No text
227987,17/03/2025 08:42:36,No text
227986,17/03/2025 08:42:36,No text
227985,17/03/2025 08:42:36,No text
227984,17/03/2025 08:42:36,No text
227983,17/03/2025 08:42:36,No text
227982,17/03/2025 08:42:36,No text
227981,17/03/2025 08:42:36,في مشهد مهيب ونادر، أكثر من 150 حافظًا للقرآن الكريم في محافظة خانيونس، يسردون القرآن في جلسة واحدة خلال مسابقة تنظمها مبادرة تحدي الخير بالشراكة مع دار القرآن الكريم والسنة، يقول القائمون أن هذا السرد رسالة صمود من غزة إلى العالم رغم الجراح، وتأكيد أن القرآن سيبقى نورًا يضيء دربنا، وسلاحًا نحمل به أرواحنا قبل أجسادنا.
227980,17/03/2025 07:16:39,هآرتس: الوثائق أظهرت أن كبار مسؤولي حماس طلبوا من إيران مساعدتهم في تمويل هجوم يلحق الهزيمة في إسرائيل خلال العامين قبل السابع من أكتوبر
227979,17/03/2025 07:16:32,هآرتس: إسرائيل حصلت على وثائق في غزة تشير إلى نقاشات أجرتها حماس مع حزب الله لشن هجوم مفاجئ
227978,17/03/2025 07:16:24,قادة المعارضة الإسرائيلية يجتمعون اليوم لبحث الخطوات المتوقعة في أعقاب قرار نتنياهو إقالة رئيس الشاباك
227977,17/03/2025 01:59:30,القوات المسلحة اليمنية: مستمرون في حظر مرور السفن الإسرائيلية من منطقة العمليات حتى رفع الحصار عن غزة
227976,17/03/2025 01:59:28,عاجل | يحيى سريع: سنمضي قدما في تنفيذ ما ورد بكلمة القائد بشأن الخيارات التصعيدية في حال استمر العدوان على #اليمن
227975,17/03/2025 01:59:25,عاجل | يحيى سريع: استهدفنا حاملة الطائرات الأمريكية هاري ترومان بعدد من الصواريخ الباليستية والمجنحة والمسيرات
227974,17/03/2025 01:59:21,"القوات المسلحة اليمنية: 

- استهدفنا للمرة الثانية خلال 24 ساعة حاملة الطائرات الأمريكية يو إس إس هاري ترومان""  شمال البحر الأحمر، بعدد من الصواريخ الباليستية والمجنحة، والطائرات المسيرة، في اشتباك استمر لعدة ساعات

- أفشلنا هجوم معادٍ، كان العدو يحضر لشنه على بلدنا، واضطرت طائراته الحربية المحلقة للعودة من حيث انطلقت؛ بعد إطلاق عدد من الصواريخ والمسيرات على حاملة الطائرات وعدد من القطع الحربية التابعة لها

 - تأتي هذه العمليات رداً على استمرار العدوان الأمريكي على بلدنا، وفي ذكرى غزوة بدر الكبرى، وامتداداً لمسيرة الإسلام في مواجهة الطغيان والاستكبار.

- إننا وبالتوكل على الله تتصدى لهذا العدوان الإجرامي، ونواجه التصعيد بالتصعيد"
227973,17/03/2025 01:07:14,بيان مهم للقوات المسلحة اليمنية في تمام الساعة 4:40ص
227972,17/03/2025 01:06:34,عاجل | وسائل إعلام يمنية: غارات أمريكية تستهدف المجمع الحكومي في مديرية الحزم في محافظة الجوف
227971,16/03/2025 22:43:31,عدوان أمريكي على مديرية زبيد في محافظة الحديدة باليمن
227970,16/03/2025 21:24:39,"صفوة الحفاظ ،، بدأ العد التنازلي للحدث الأضخم الذي سيقام منذ فجر الغد الموافق الاثنين 17/3/2025 في محافظة خانيونس-

#صفوة_الحفاظ_خانيونس
 مسابقة السرد القراني (القرآن كاملاً) والتي تنفذها مبادرة تحدي الخير بالشراكة مع دار القران الكريم والسنة ."
227969,16/03/2025 20:54:52,"متابعة | مكتب إعلام الأسرى :
قائمة بأسماء 33 معتقلاً من قطاع غزة تم الحصول من على ردود حول أماكن احتجازهم في سجون ومعسكرات الاحتلال وهم :

1. سعد رشاد عثمان عزام / عوفر
2. محمد كايد ياسين / عوفر
3. عاهد هلال اسماعيل غبن / عوفر
4. حسين خضر ابو عليوة / سديه تيمان 
5. عثمان نمر عثمان وادي / النقب   
6. سيف الدين عاطف أبو سرية / نفحة 
7. نافز محمد محمد العجلة / عوفر 
8. نبيل مازن نبيل محمود /سجن عوفر 
9. إبراهيم صلاح ديب ريان / سديه تيمان  
10. مصعب جميل كفارنة / سديه تيمان   
11. نضال فايز جبريل مقيد / عوفر  
12. عصام احمد فتحي طعيمة / عوفر   
13. يوسف محمود محمد تيم / عوفر  
14. وسيم إبراهيم أبو جامع / النقب   
15. نعيم ياسين قطينة / ريمون 
16. فارس موسى فارس طناني / عناتوت
17. محمد ابراهيم خليل جحا / عوفر
18. عبد الحكيم ايمن شافعي / النقب
19. محمود ناصر احمد  هندي/ النقب
20. مهدي مصطفى نعمان حسنين / نفحة
21. محمد جمال علي حمدان / عوفر 
22. محمود فتحي احمد حواجرة /النقب
23. حسن احمد مصباح اكي /المسكوبية
24. محمد كامل محمود عقاد / النقب
25. ابراهيم فؤاد نعمان جوارشة/ النقب
26. محمد ياسر نبهان شلايل / بيتح تكفا
27. حسن ذيب سمور / نفحة
28. عبد المعز دحلان / عوفر 
29. لؤي ماجد حرارة / عوفر
30. محمد حسن ادعيس / سديه تيمان
31. مازن محمد جراد / سديه تيمان
32. محمد حسن اسماعيل كحلوت /نيتسان
33. عبد الله وائل خليل خطيب / مجدو"
227968,16/03/2025 20:53:12,"القيادي في حماس محمود مرداوي:

نتنياهو ينقلب على اتفاق وقف إطلاق النار ويتنصل من جميع التزاماته.

لن نساوم على سلاح المقاومة طالما بقي الاحتلال."
227967,16/03/2025 20:52:48,جماعة أنصار الله: العدوان الأمريكي يستهدف بغارتين برج القيادة في السفينة الإسرائيلية المحتجزة غلاكسي ليدر
227966,16/03/2025 20:52:45,جماعة أنصار الله: ارتفاع عدد ضحايا الهجمات الأمريكية على اليمن إلى 53
227965,16/03/2025 20:44:41,تظاهرات وإغلاق شوارع في تل أبيب احتجاجا على قرار نتنياهو إقالة رئيس الشاباك رونين بار
227964,16/03/2025 20:18:11,"المستشارة القضائية للحكومة الإسرائيلية:
لا يمكن لنتنياهو إقالة رئيس الشاباك، وذلك حتى يتم استكمال مراجعة الأسس القانونية والوقائع التي يستند إليها القرار، والتأكد من صلاحيات نتنياهو للتعامل مع هذا الموضوع في الوقت الحالي."
227963,16/03/2025 20:18:10,"مراسل القناة 12:
التصادم بين نتنياهو ومؤسسات الدولة يصل ذروته"
